node,degree,in_degree,out_degree,betweenness,closeness,eigenvector,pagerank,community,n_papers
mass transport deposit,22,4,18,0.2246,0.222,0.6077,0.0261,0,16
submarine landslides,10,3,7,0.101,0.1677,0.0363,0.0221,1,18
methane hydrate dissociation,9,0,9,0.0638,0.1434,0.0173,0.0041,3,2
turbidite,8,0,8,0.0293,0.1379,0.1547,0.0041,6,13
discontinuous,6,6,0,0.0208,0.1677,0.2042,0.0134,4,12
debris flow deposit,6,0,6,0.0217,0.1355,0.1509,0.0041,4,4
high-amplitude,5,5,0,0.0203,0.1677,0.1836,0.0121,4,9
chaotic,5,5,0,0.0138,0.1665,0.2089,0.0094,5,10
megaslide,5,0,5,0.0031,0.1379,0.1695,0.0041,5,3
layered,5,5,0,0.0226,0.1677,0.1891,0.0133,5,3
sediment or rock failure,4,3,1,0.0276,0.1317,0.0077,0.0127,7,1
excess pore pressure,4,2,2,0.0543,0.158,0.0586,0.0079,2,6
failure,4,4,0,0.0209,0.1309,0.0077,0.0171,1,16
slope failure,4,3,1,0.053,0.1814,0.1412,0.0135,2,11
slope failures,4,2,2,0.0463,0.18,0.1412,0.0086,2,10
hummocky,4,4,0,0.0126,0.1653,0.1667,0.0093,0,7
parallel,4,4,0,0.0156,0.1665,0.1822,0.0099,6,9
compressive domain,3,0,3,0.0003,0.0194,0.0,0.0041,-1,1
sediment approaches a state of liquefaction,3,1,2,0.0006,0.0202,0.0,0.0129,-1,1
mass movement initiation,3,3,0,0.0003,0.0194,0.0,0.0144,-1,2
sea-level lowstands,3,0,3,0.0004,0.0206,0.0,0.0041,-1,1
channel levee,3,0,3,0.0009,0.1347,0.1038,0.0041,4,1
low-amplitude,3,3,0,0.0078,0.1641,0.1626,0.007,4,4
blocky,3,3,0,0.0081,0.1607,0.1519,0.0094,5,4
transparent,3,3,0,0.0031,0.1607,0.1671,0.0071,5,3
continuous,3,3,0,0.0139,0.1653,0.149,0.0092,6,13
unit a,3,0,3,0.0005,0.1317,0.1094,0.0041,5,2
continental slope,3,3,0,0.0845,0.188,0.1259,0.0114,1,17
earthquake,3,0,3,0.0142,0.1408,0.0553,0.0041,2,6
slope destabilization,3,3,0,0.0003,0.0194,0.0,0.0144,-1,1
wave action,2,0,2,0.0001,0.0129,0.0,0.0041,-1,1
effective stress decreases,2,1,1,0.0005,0.0202,0.0,0.0104,-1,1
environmental loads,2,0,2,0.007,0.1069,0.0015,0.0041,7,1
incising lateral ramps into the basal shear surface,2,2,0,0.007,0.1367,0.0276,0.0112,2,0
excess pressure and formation stress concentration,2,1,1,0.007,0.1145,0.0034,0.0044,3,1
forced regression,2,1,1,0.0003,0.0172,0.0,0.0052,-1,1
formation stress concentration,2,1,1,0.007,0.1145,0.0034,0.0044,3,1
gas hydrate dissipation,2,0,2,0.0001,0.0129,0.0,0.0041,-1,1
gravitational spreading,2,2,0,0.0001,0.0129,0.0,0.011,-1,1
pore pressure buildup,2,1,1,0.0178,0.1421,0.0101,0.0044,3,1
instabilities,2,2,0,0.0001,0.0129,0.0,0.011,-1,1
pore-water pressures build up,2,1,1,0.0003,0.0161,0.0,0.0075,-1,1
rapid rate of sedimentation,2,0,2,0.0003,0.0172,0.0,0.0041,-1,1
fluid overpressure,2,1,1,0.0003,0.0147,0.0,0.0058,-1,2
sediment accumulation,2,0,2,0.0001,0.0129,0.0,0.0041,-1,1
temperature increase at the bhsz,2,1,1,0.0001,0.0129,0.0,0.0075,-1,1
channel,2,0,2,0.0005,0.1339,0.0731,0.0041,4,8
debris-flow deposit,2,0,2,0.0001,0.1295,0.0708,0.0041,0,3
undeformed,2,2,0,0.0032,0.1596,0.1249,0.007,0,13
slide,2,0,2,0.0001,0.1281,0.055,0.0041,0,13
continental margin,2,2,0,0.007,0.1596,0.1188,0.0087,0,13
non-glaciated margin,2,2,0,0.007,0.1094,0.0295,0.0081,4,1
blocky material,2,0,2,0.007,0.1253,0.0232,0.0041,0,1
basal shear surface,2,2,0,0.0139,0.1607,0.119,0.007,0,2
initiation of the slides,2,2,0,0.007,0.1129,0.0108,0.0087,2,1
local overpressure,2,1,1,0.0001,0.0129,0.0,0.0075,-1,1
build-up of overpressure,2,2,0,0.0003,0.0147,0.0,0.0092,-1,1
steepening up-dip,2,0,2,0.007,0.1112,0.0054,0.0041,2,1
unstable condition,2,1,1,0.0139,0.1383,0.0276,0.0058,2,1
up-dip termination of mass transport deposits,2,2,0,0.0001,0.0129,0.0,0.011,-1,0
thickness of mass transport deposits,1,1,0,0.0,0.0116,0.0,0.0052,-1,1
elevation of upper surfaces,1,1,0,0.0,0.0116,0.0,0.0052,-1,1
strongly deformed allochthonous masses,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
chaotic-to-transparent facies,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
equilibrium conditions,1,1,0,0.0,0.0086,0.0,0.0058,-1,1
combination of load increase and strength decrease,1,0,1,0.0,0.1064,0.0014,0.0041,7,1
up to 500m in thickness,1,1,0,0.0,0.0116,0.0,0.0052,-1,1
decrease in the strength of the sediment/rock,1,0,1,0.0,0.1064,0.0014,0.0041,7,1
erosion of canyon heads,1,0,1,0.0,0.0116,0.0,0.0041,-1,1
erosive power,1,0,1,0.0,0.1097,0.0052,0.0041,2,0
development of mtds in the stress concentrating area,1,1,0,0.0,0.0949,0.0006,0.0078,3,1
fluid_overpressure,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
gravitational collapse,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
depo-centers shifting towards the outer shelf,1,1,0,0.0,0.0115,0.0,0.0085,-1,1
developing mtds,1,1,0,0.0,0.0949,0.0006,0.0078,3,1
increase in excess pore water pressure,1,1,0,0.0,0.0086,0.0,0.0058,-1,1
increase of excess pore water pressure,1,1,0,0.0,0.0086,0.0,0.0058,-1,1
gas hydrates destabilization,1,0,1,0.0,0.0116,0.0,0.0041,-1,2
growth stratal wedge,1,0,1,0.0,0.1585,0.1146,0.0041,0,1
higher sedimentation rates,1,0,1,0.0,0.0116,0.0,0.0041,-1,2
lack of support from removed sediment,1,0,1,0.0,0.0086,0.0,0.0041,-1,1
increase of volume and pressure buildup,1,1,0,0.0,0.114,0.0033,0.0044,3,1
reduction of shear strength of sediment,1,1,0,0.0,0.114,0.0033,0.0044,3,1
formation of layer of weakness between sedimentary formations,1,1,0,0.0,0.114,0.0033,0.0044,3,1
sediment vulnerability to damage,1,1,0,0.0,0.114,0.0033,0.0044,3,1
high excess pore pressure,1,1,0,0.0,0.114,0.0033,0.0044,3,1
migration of depocenters,1,0,1,0.0,0.0086,0.0,0.0041,-1,1
rapid sediment accumulation,1,0,1,0.0,0.1059,0.0014,0.0041,1,2
rise of the hydrostatic pressure,1,0,1,0.0,0.0086,0.0,0.0041,-1,1
shift of depocenters towards the outer shelf,1,1,0,0.0,0.0129,0.0,0.0052,-1,1
greatest rates of sedimentation at the outer shelf and upper slope,1,1,0,0.0,0.0129,0.0,0.0052,-1,1
increased shear stress,1,1,0,0.0,0.0086,0.0,0.0058,-1,1
decrease in current velocity necessary to initiate sediment transport,1,1,0,0.0,0.0134,0.0,0.0096,-1,1
current velocity necessary to initiate sediment transport decreases,1,1,0,0.0,0.0134,0.0,0.0096,-1,1
dissociation of gas hydrates,1,1,0,0.0,0.0086,0.0,0.0104,-1,1
translational sliding,1,0,1,0.0,0.0086,0.0,0.0041,-1,1
potential for mass-transport events,1,1,0,0.0,0.0086,0.0,0.0058,-1,1
rough topography,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
disintegration and transformation of the debris flows into a turbidity current,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
channel levee complex,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
thin,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
fold,1,0,1,0.0,0.1288,0.0385,0.0041,4,6
wedge-shaped,1,1,0,0.0,0.1585,0.1146,0.0053,0,2
remnant and rafted blocks,1,0,1,0.0,0.1288,0.0346,0.0041,4,2
siliciclastic unit,1,0,1,0.0,0.1281,0.0343,0.0041,6,1
deepwater basinal setting,1,1,0,0.0,0.1585,0.1146,0.0053,0,1
mediterranean continental margin,1,1,0,0.0,0.1288,0.0068,0.0067,1,1
deltaic wedge,1,1,0,0.0,0.1288,0.0068,0.0067,1,1
mediterranean continental margins,1,1,0,0.0,0.1288,0.0068,0.0067,1,1
submarine slide,1,0,1,0.0,0.0914,0.0056,0.0041,4,1
canyon mouth,1,1,0,0.0,0.1105,0.0292,0.0045,6,2
turbidite system,1,0,1,0.0,0.124,0.0224,0.0041,0,7
curved ramp,1,1,0,0.0,0.1022,0.0044,0.0058,0,1
rugged upper surface,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
stable paleo-lakebed,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
upper surface,1,1,0,0.0,0.1585,0.1146,0.0053,0,2
toe,1,0,1,0.0,0.1585,0.1146,0.0041,0,2
decreased strength,1,0,1,0.0,0.1059,0.0014,0.0041,1,1
earthquake loading,1,0,1,0.0,0.0938,0.002,0.0041,2,1
free gas,1,0,1,0.0,0.0086,0.0,0.0041,-1,1
increased driving stresses,1,0,1,0.0,0.1059,0.0014,0.0041,1,1
storm waves,1,0,1,0.0,0.0115,0.0,0.0041,-1,1
length of the sliding sheet,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
critical length,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
bore-hole stability during drilling,1,1,0,0.0,0.0086,0.0,0.0104,-1,1
sea floor slope,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
effect of the surface slope,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
strength development,1,1,0,0.0,0.0086,0.0,0.0058,-1,1
sedimentation rates,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
disequilibrium conditions,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
subsequent flows,1,1,0,0.0,0.1288,0.0068,0.0067,1,1
volume and pressure buildup,1,0,1,0.0,0.123,0.011,0.0041,2,1
sediment or rock to fail,1,1,0,0.0,0.0896,0.0003,0.0058,7,1
failure of sediment or rock,1,0,1,0.0,0.1288,0.0068,0.0041,1,1
gas hydrate disassociation,1,0,1,0.0,0.0116,0.0,0.0041,-1,1
sea level fall,1,0,1,0.0,0.0086,0.0,0.0041,-1,1
dip of the basal detachment,1,0,1,0.0,0.0065,0.0,0.0041,-1,1
stability criterion,1,1,0,0.0,0.0065,0.0,0.0075,-1,1
sediment pinch-out,1,0,1,0.0,0.0086,0.0,0.0041,-1,0
slope angle,1,0,1,0.0,0.0086,0.0,0.0041,-1,0
small permeability,1,0,1,0.0,0.0103,0.0,0.0041,-1,1
location and style of up-dip termination of the mass transport deposits,1,1,0,0.0,0.0927,0.001,0.0058,2,0
displaced block,1,0,1,0.0,0.1288,0.0357,0.0041,5,1
facies 4a,1,0,1,0.0,0.1246,0.0286,0.0041,5,1
hemipelagite,1,0,1,0.0,0.1274,0.0281,0.0041,6,3
erosional,1,1,0,0.0,0.1585,0.1146,0.0053,0,2
preserved block,1,0,1,0.0,0.1288,0.0357,0.0041,5,2
debris avalanche,1,0,1,0.0,0.1404,0.0237,0.0041,1,1
passive margin,1,1,0,0.0,0.1089,0.0284,0.0046,4,1
tectonically active margin,1,1,0,0.0,0.1288,0.0068,0.0067,1,4
basin floor,1,1,0,0.0,0.1105,0.0292,0.0045,6,2
upper slope,1,1,0,0.0,0.1105,0.0292,0.0045,6,5
deep basin,1,1,0,0.0,0.1105,0.0292,0.0045,6,2
canyon erosion,1,0,1,0.0,0.0116,0.0,0.0041,-1,1
slope instability,1,1,0,0.0,0.0103,0.0,0.009,-1,2
seismic trigger,1,0,1,0.0,0.0116,0.0,0.0041,-1,1
