n_papers,nodes_mean,nodes_lo,nodes_hi,edges_mean,edges_lo,edges_hi,desc_mean,desc_lo,desc_hi
2,25.5,10.0,45.1,21.6,6.0,40.1,5.6,1.0,10.0
5,48.9,30.0,73.0,46.5,25.0,69.0,9.3,5.0,13.0
8,66.0,41.0,94.0,65.0,42.0,94.0,11.0,7.0,13.0
11,79.4,53.0,108.0,79.1,53.0,105.0,11.8,9.0,14.0
14,94.6,67.0,122.0,94.3,70.0,120.0,12.7,10.0,14.0
16,103.1,74.0,129.0,102.7,79.9,128.0,13.0,11.0,14.0
19,116.7,90.0,140.0,115.3,91.0,137.0,13.4,12.0,14.0
22,127.7,104.0,146.0,125.8,103.0,142.0,13.7,13.0,14.0
25,139.2,121.0,150.0,136.2,120.0,146.0,13.9,13.0,14.0
28,150.0,150.0,150.0,146.0,146.0,146.0,14.0,14.0,14.0
