entity_a,entity_b,word_overlap,type_a,type_b
"basal shear surface","incising lateral ramps into the basal shear surface",1.0000,"StructuralSurface","Process"
"blocky","blocky material",1.0000,"Descriptor","GeologicalObject"
"canyon erosion","erosion of canyon heads",1.0000,"Process","Process"
"channel","channel levee",1.0000,"SeismicObject","SeismicObject"
"channel","channel levee complex",1.0000,"SeismicObject","SeismicObject"
"channel levee","channel levee complex",1.0000,"SeismicObject","SeismicObject"
"continental margin","mediterranean continental margin",1.0000,"GeologicalSetting","GeologicalSetting"
"earthquake","earthquake loading",1.0000,"Process","Process"
"excess pore pressure","high excess pore pressure",1.0000,"Condition","Process"
"excess pore pressure","increase in excess pore water pressure",1.0000,"Condition","Process"
"excess pore pressure","increase of excess pore water pressure",1.0000,"Condition","Process"
"excess pressure and formation stress concentration","formation stress concentration",1.0000,"Process","Condition"
"failure","failure of sediment or rock",1.0000,"Process","Process"
"failure","sediment or rock failure",1.0000,"Process","Process"
"failure","slope failure",1.0000,"Process","Process"
"failure of sediment or rock","sediment or rock failure",1.0000,"Process","Process"
"greatest rates of sedimentation at the outer shelf and upper slope","sedimentation rates",1.0000,"Condition","Condition"
"greatest rates of sedimentation at the outer shelf and upper slope","upper slope",1.0000,"Condition","GeologicalSetting"
"higher sedimentation rates","sedimentation rates",1.0000,"Process","Condition"
"increase of volume and pressure buildup","volume and pressure buildup",1.0000,"Process","Process"
"location and style of up-dip termination of the mass transport deposits","up-dip termination of mass transport deposits",1.0000,"Process","Location"
"rapid sediment accumulation","sediment accumulation",1.0000,"Process","Process"
"rugged upper surface","upper surface",1.0000,"GeologicalFeature","SurfaceFeature"
"slide","submarine slide",1.0000,"SeismicObject","GeologicalObject"
"turbidite","turbidite system",1.0000,"SeismicObject","GeologicalObject"
"current velocity necessary to initiate sediment transport decreases","decrease in current velocity necessary to initiate sediment transport",0.8750,"Condition","Condition"
"increase in excess pore water pressure","increase of excess pore water pressure",0.8333,"Process","Process"
"location and style of up-dip termination of the mass transport deposits","thickness of mass transport deposits",0.8000,"Process","Property"
"thickness of mass transport deposits","up-dip termination of mass transport deposits",0.8000,"Property","Location"
