node,degree,in_degree,out_degree,betweenness,closeness,eigenvector,pagerank,community,n_papers
mass transport deposit,33,12,21,0.3027,0.2927,0.6707,0.035,0,17
slope failure,9,6,3,0.1063,0.2214,0.1438,0.0279,1,12
submarine landslide,7,1,6,0.058,0.1648,0.0246,0.0058,3,21
turbidite,6,0,6,0.021,0.1618,0.0734,0.0041,2,13
slide,5,0,5,0.0025,0.1609,0.115,0.0041,5,20
basal shear surface,5,5,0,0.0426,0.2045,0.1254,0.017,4,6
particle segregation,4,1,3,0.0005,0.0253,0.0,0.0075,-1,1
high-amplitude,4,4,0,0.0189,0.2045,0.1343,0.0112,6,9
chaotic,4,4,0,0.0133,0.2029,0.1395,0.0092,7,10
hummocky,4,4,0,0.0103,0.2014,0.1466,0.009,7,7
megaslide,4,0,4,0.0084,0.1609,0.0728,0.0041,2,2
transparent,4,4,0,0.0207,0.2045,0.1472,0.0082,2,12
continuous,4,4,0,0.0198,0.206,0.1395,0.0104,2,13
fluid overpressure,4,2,2,0.0218,0.1638,0.026,0.011,1,2
mass movement initiation,3,3,0,0.0001,0.1492,0.0605,0.0092,0,2
excess pressure,3,1,2,0.0287,0.1648,0.0253,0.0058,1,2
high excess pore pressure,3,2,1,0.0146,0.1078,0.0007,0.0092,3,1
migration of depocenters,3,0,3,0.0072,0.1984,0.1251,0.0041,8,2
rise of hydrostatic pressure,3,0,3,0.0072,0.1984,0.1251,0.0041,8,3
discontinuous,3,3,0,0.0106,0.1984,0.1218,0.0107,6,12
debris flow,3,0,3,0.0063,0.1618,0.0495,0.0041,7,4
low-amplitude,3,3,0,0.0157,0.1999,0.1342,0.0079,5,4
siliciclastic unit,3,0,3,0.0093,0.1562,0.028,0.0041,2,1
erosion,3,0,3,0.0146,0.1535,0.022,0.0041,4,13
slope destabilization,3,3,0,0.0002,0.019,0.0,0.0144,-1,1
layered,3,3,0,0.015,0.2029,0.127,0.0095,2,3
undeformed,3,3,0,0.0085,0.1984,0.1341,0.0096,5,14
pushing the slope toward failure,2,2,0,0.0001,0.0127,0.0,0.011,-1,1
