n_papers,nodes_mean,nodes_lo,nodes_hi,edges_mean,edges_lo,edges_hi,desc_mean,desc_lo,desc_hi
3,35.2,21.0,58.0,29.0,15.0,54.1,7.9,3.0,13.0
6,58.6,37.0,82.0,52.9,31.0,78.0,12.0,8.0,16.0
9,73.5,51.0,97.0,67.8,45.0,93.0,13.4,9.0,17.0
12,88.3,66.0,112.0,82.5,59.0,105.0,14.9,12.0,18.0
15,100.5,80.0,126.0,94.7,72.0,116.0,16.0,13.0,19.0
18,113.4,94.0,135.0,107.0,82.0,126.0,16.8,14.0,19.0
21,126.0,102.0,144.0,118.7,99.0,135.0,17.7,15.0,19.0
24,137.0,116.0,152.0,128.9,112.0,141.0,18.1,15.0,19.0
27,148.0,132.0,157.0,138.7,125.0,146.0,18.5,17.0,19.0
30,157.0,157.0,157.0,147.0,147.0,147.0,19.0,19.0,19.0
