name_A,n_triples_A,name_B,n_triples_B,why_flagged,DECISION_same_concept_YN,COMMENT
bipartite flow,1,formation of bipartite flow,1,nominalization: 'formation of X' vs 'X',,
development of excess pore-water pressures,1,excess pore-water pressures,1,nominalization: 'development of X' vs 'X',,
excess pore pressure,1,excess pore-water pressures,1,similar spelling (ratio 0.85),,
excess pore pressure,1,excess pressure,3,similar spelling (ratio 0.86),,
excess pore pressure,1,high excess pore pressure,3,similar spelling (ratio 0.89),,
fluid overpressure,4,pore-fluid overpressure,1,similar spelling (ratio 0.88),,
gas hydrate disassociation,1,gas hydrate dissolution,2,similar spelling (ratio 0.86),,
gas hydrate disassociation,1,gas-hydrate dissociation,1,similar spelling (ratio 0.92),,
gas hydrate dissolution,2,gas-hydrate dissociation,1,similar spelling (ratio 0.85),,
instabilities,2,instability,1,similar spelling (ratio 0.83),,
rapid rate of sedimentation,1,rapid sedimentation,1,similar spelling (ratio 0.83),,
rapid sediment accumulation,2,rapid sedimentation,1,similar spelling (ratio 0.83),,
translational domain,1,translational sliding,1,similar spelling (ratio 0.83),,
