item_id,stratum,subject,relation,object,tier,status,confidence,w_tier,w_m4,w_consensus,support_papers,support_chunks,m4_decision,m4_confidence,flags,evidence_paper
S001,tier1_conf2,rugged upper surface,overlies,stable paleo-lakebed,1,active,0.4307,1.0,1.0,0.4307,1,0,ACCEPT,0.75,['partial_support'],RichardsonetalBasinResearch2011-online (1)
S002,tier2_conf3,excess pore pressure,causes,slope failure,2,active,0.6,0.6,1.0,1.0,5,31,ACCEPT,0.825,['partial_support'],D. Leynaud
S003,tier2_conf1,amapá megaslide complex,hasDescriptor,stratified,2,active,0.1809,0.6,0.7,0.4307,1,0,UNCERTAIN,0.425,[],Dos-Reis-et-al-2016-MPG
S004,priority:parametric_risk,debris flow,hasDescriptor,hummocky,2,active,0.2867,0.6,0.7,0.6826,2,2,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",9781565762879_ch02
S005,tier2_conf1,compressive domain,causes,up to 500m in thickness,2,active,0.1809,0.6,0.7,0.4307,1,2,UNCERTAIN,0.575,['partial_support'],RichardsonetalBasinResearch2011-online (1)
S006,tier2_conf2,fluid overpressure,triggers,slope instability,2,active,0.4096,0.6,1.0,0.6826,2,1,ACCEPT,1.0,[],1-s2.0-S0040195109002819-main
S007,priority:parametric_risk,slide,hasDescriptor,low-amplitude,2,active,0.1809,0.6,0.7,0.4307,1,1,UNCERTAIN,0.4,['parametric_risk'],Moscardelli_and_Wood_2008
S008,priority:parametric_risk,submarine landslide,occursIn,tectonically active margin,2,active,0.42,0.6,0.7,1.0,4,9,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
S009,priority:parametric_risk,rapid rate of sedimentation,causes,fluid overpressure,2,active,0.1809,0.6,0.7,0.4307,1,0,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",1-s2.0-S0191814106000101-main
S010,tier2_conf2,free gas,affects,slope stability,2,active,0.2867,0.6,0.7,0.6826,2,1,UNCERTAIN,0.575,['partial_support'],1-s2.0-S0264817216304585-main
S011,priority:parametric_risk,volume and pressure buildup,causes,pore-fluid overpressure,2,active,0.1809,0.6,0.7,0.4307,1,0,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",3-s2.0-B9780128130810007047-main
S012,tier2_conf1,fluid overpressure,triggers,slope failure,2,active,0.2584,0.6,1.0,0.4307,1,0,ACCEPT,0.825,['partial_support'],1-s2.0-S0040195109002819-main
S013,priority:parametric_risk,submarine landslide,occursIn,deltaic wedge,2,active,0.1809,0.6,0.7,0.4307,1,1,UNCERTAIN,0.575,['parametric_risk'],JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
S014,tier1_conf2,migration of depocenters,causes,instabilities,1,active,0.4307,1.0,1.0,0.4307,1,1,ACCEPT,0.825,['partial_support'],Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
S015,tier2_conf1,mass transport deposit,hasDescriptor,transparent,2,active,0.1809,0.6,0.7,0.4307,1,4,UNCERTAIN,0.35,[],
S016,tier2_conf1,blocky material,overlies,basal shear surface,2,active,0.2584,0.6,1.0,0.4307,1,2,ACCEPT,0.825,['partial_support'],RichardsonetalBasinResearch2011-online (1)
S017,tier1_conf2,siliciclastic unit,hasDescriptor,transparent,1,active,0.4307,1.0,1.0,0.4307,1,1,ACCEPT,0.85,['contested_plausibility'],Dos-Reis-et-al-2016-MPG
S018,tier1_conf3,mass transport deposit,hasDescriptor,faulted,1,active,0.8614,1.0,1.0,0.8614,3,3,ACCEPT,0.65,['partial_support'],Two-scale_gravitational_collapse_in_the_Amazon_Fan
S019,tier2_conf3,mass transport deposit,hasDescriptor,discontinuous,2,active,0.6,0.6,1.0,1.0,4,10,ACCEPT,0.65,['partial_support'],
S020,tier1_conf3,mass transport deposit,hasDescriptor,high-amplitude,1,active,0.6826,1.0,1.0,0.6826,2,2,ACCEPT,1.0,[],RichardsonetalBasinResearch2011-online (1)
S021,tier2_conf2,subaqueous slope failure,causes,mass transport deposit,2,active,0.4096,0.6,1.0,0.6826,2,3,ACCEPT,1.0,[],RichardsonetalBasinResearch2011-online (1)
S022,tier1_conf2,mass transport deposit,occursIn,deep-water basinal settings,1,active,0.4307,1.0,1.0,0.4307,1,0,ACCEPT,1.0,[],9781565762879_ch02
S023,tier2_conf3,seismic loading,triggers,slope failure,2,active,0.5168,0.6,1.0,0.8614,3,6,ACCEPT,0.65,['partial_support'],3-s2.0-B9780128130810007047-main
S024,tier1_conf2,decrease in effective stress,causes,sediment approaching liquefaction,1,active,0.4307,1.0,1.0,0.4307,1,0,ACCEPT,0.825,['partial_support'],Submarine_Mass_Movements_on_Continental
S025,tier2_conf3,mass transport deposit,hasDescriptor,chaotic,2,active,0.6,0.6,1.0,1.0,6,15,ACCEPT,0.65,['partial_support'],Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution
S026,tier2_conf2,preserved block,hasDescriptor,layered,2,active,0.2867,0.6,0.7,0.6826,2,2,UNCERTAIN,0.575,['partial_support'],Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
S027,tier1_conf3,mass transport deposit,hasDescriptor,hummocky,1,active,1.0,1.0,1.0,1.0,4,5,ACCEPT,1.0,[],9781565762879_ch02
S028,priority:parametric_risk,megaslide,hasDescriptor,disrupted,2,active,0.1809,0.6,0.7,0.4307,1,1,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",Dos-Reis-et-al-2016-MPG
S029,priority:parametric_risk,erosion of canyon heads,causes,mass transport deposit,2,active,0.1809,0.6,0.7,0.4307,1,1,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
S030,tier2_conf3,slide,hasDescriptor,blocky,2,active,0.6,0.6,1.0,1.0,5,6,ACCEPT,0.65,['partial_support'],9781565762879_ch02
S031,tier1_conf1,slope failure,triggers,incision of lateral ramps,1,active,0.0,1.0,0.5,0.0,0,0,,,,
S032,priority:parametric_risk,erosion,affects,ramps and promontories,2,active,0.1809,0.6,0.7,0.4307,1,5,UNCERTAIN,0.4,['parametric_risk'],1-s2.0-S0025322713000571-main
S033,tier1_conf3,turbidite,hasDescriptor,continuous,1,active,1.0,1.0,1.0,1.0,8,20,ACCEPT,0.75,['partial_support'],Alves_AAPG_MTDs_14
S034,priority:parametric_risk,steepening up-dip,causes,unstable condition,2,active,0.1809,0.6,0.7,0.4307,1,0,UNCERTAIN,0.475,"['parametric_risk', 'partial_support']",RichardsonetalBasinResearch2011-online (1)
