source,target,type,refs,xlsx_row,target_role,target_property,category,n_docs_src,n_docs_tgt,evidence
runout distance,"max. horizontal length, if attached",Undirected,20,2,process_or_control,,C_absent,14,0,[]
topography confinement downwards,MTD principal direction,Undirected,,3,descriptor,Morphology,C_absent,0,20,[]
principal direction,"scours, grooves, striations",Undirected,3,4,process_or_control,,B_distributed,2,10,[]
detached MTD,runout distance,Directed,20,5,descriptor,Position,A_direct,1,14,"[{""doc"": ""1-s2.0-S0025322713000571-main"", ""idx"": 1087, ""tier"": ""same_sentence"", ""snippet"": ""Reassessing diagnostic features of slope- and shelf-detached MTDs The dimension of MTDs can be used to estimate their source area and sediment run-out distances (Hünerbach et al., 2004).""}, {""doc"": ""1-s2.0-S0025322713000571-main"", ""idx"": 1088, ""tier"": ""same_sentence"", ""snippet"": ""Reassessing diagnostic features of slope- and shelf-detached MTDs The dimension of MTDs can be used to estimate their source area and sediment run-out distances (Hünerbach et al., 2004).""}]"
detached MTD,max. horizontal length,Directed,20,6,process_or_control,,C_absent,1,0,[]
detached MTD,surface area,Directed,20,7,descriptor,Morphology,B_weak_cross_doc,1,1,[]
detached MTD,horizontal aspect ratio,Directed,20;28,8,descriptor,Morphology,C_absent,1,0,[]
lithology distribution in MTD,transparent facies distribution,Directed,,9,descriptor,Internal facies distributions,C_absent,0,17,[]
lithology distribution in MTD,faulty facies distribution,Undirected,30,10,descriptor,Internal facies distributions,C_absent,0,0,[]
seafloor shapes and dip variations,thickness variation,Directed,24;35,11,descriptor,Morphology,C_absent,0,3,[]
"subsidence/uplift, extension/compression",MTD volume,Directed,29,12,descriptor,Morphology,C_absent,0,20,[]
topography confinement downwards,terminal dispersion,Directed,20,13,process_or_control,,C_absent,0,0,[]
terminal dispersion,thickness variation,Directed,20,14,descriptor,Morphology,C_absent,0,3,[]
ridged facies distribution,thickness variation,Undirected,20,15,descriptor,Morphology,B_distributed,22,3,[]
terminal dispersion,width variation,Directed,34,16,descriptor,Morphology,C_absent,0,0,[]
flow direction,lateral erosive walls,Directed,3,17,descriptor,Basal surface,C_absent,3,0,[]
flow direction,"scours, grooves, striations",Directed,3,18,process_or_control,,B_distributed,3,10,[]
"existing geomorphology, objects and pathways",width variation,Undirected,3,19,descriptor,Morphology,C_absent,0,0,[]
"existing geomorphology, objects and pathways",flow velocity and energy,Directed,20,20,process_or_control,,C_absent,0,0,[]
flow velocity and energy,"scours, grooves, striations",Directed,20,21,process_or_control,,C_absent,0,10,[]
plowing effect on underlying material,BS flat sub-horizontal zone,Directed,30,22,descriptor,Basal surface,C_absent,0,0,[]
"existing geomorphology, objects and pathways",horizontal aspect ratio,Directed,20,23,descriptor,Morphology,C_absent,0,0,[]
"flow behavior: elastic, plastic, fluid",horizontal aspect ratio,Directed,,24,descriptor,Morphology,C_absent,1,0,[]
volume of transported material,MTD volume,Directed,,25,descriptor,Morphology,C_absent,0,20,[]
loss of mass,MTD volume,Directed,,26,descriptor,Morphology,B_weak_cross_doc,1,20,[]
erosion of underlying material,MTD volume,Directed,,27,descriptor,Morphology,C_absent,0,20,[]
remobilization,MTD volume,Directed,,28,descriptor,Morphology,A_direct,5,20,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""idx"": 151, ""tier"": ""same_chunk"", ""snippet"": ""for steeply steeping strata flanking diapir B (Figures 13B, 14B, 16A). In this CDE plot, we discriminate be- tween strata with distinct degrees of disaggregation alternating and intact blocks with remnant sub- horizontal strata. Based on the plot in Figure 17 and on data from the two other case stud""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""idx"": 152, ""tier"": ""same_chunk"", ""snippet"": ""common to translation zones of Alves et al. 815 MTDs, where debrites are common, as they record the bulk of downslope movement of such strata (Varnes, 1978; Frey-Martinez et al., 2006). Dis- tinct degrees of strata remobilization can occur in this region, a factor creating variations in the absolute""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""idx"": 155, ""tier"": ""same_chunk"", ""snippet"": ""lead to the complete stop of the MTD (Alves, 2013). Therefore, in toe regions of MTDs, failed sediment will potentially show low C, D, and E when reflecting a high degree of disaggre- gation and very moderate amplitude contrasts in strata. One significant control on C and E is the nature of the sour""}]"
compaction during burial,MTD volume,Directed,,29,descriptor,Morphology,B_weak_cross_doc,2,20,[]
triggering turbidity current,loss of mass,Directed,,30,process_or_control,,B_weak_cross_doc,23,1,[]
trigger turbidity current at stop,loss of mass,Directed,,31,process_or_control,,B_weak_cross_doc,23,1,[]
