n_docs,label,main_category
0,near structural elements laterally,MTD Descriptor (Blue)
0,plunging pool effect,Environmental Control (Green)
3,posterior fluid migrations,Mass Movement Property (Orange)
4,terminal dispersion,Mass Movement Property (Orange)
5,HS downslope evolution,MTD Descriptor (Blue)
5,HS morphology,MTD Descriptor (Blue)
5,plunging pool indicator,MTD Descriptor (Blue)
5,remobilization,Mass Movement Property (Orange)
8,triggering cascading MTDs,Environmental Control (Green)
9,seafloor effective friction angle,Environmental Control (Green)
9,seismicity,Mass Movement Property (Orange)
10,basin depocenter position,Environmental Control (Green)
10,flow velocity and energy,Environmental Control (Green)
10,scours,MTD Descriptor (Blue)
11,compaction during burial,Mass Movement Property (Orange)
11,lateral erosive walls,MTD Descriptor (Blue)
11,lithology of underlying material downslope,Environmental Control (Green)
12,inducing seismicity,Mass Movement Property (Orange)
14,evaporite deformation & mud volcanism,Environmental Control (Green)
15,permeability increase,Environmental Control (Green)
16,lithology in transported mass,Environmental Control (Green)
16,post deposition of turbidites,Environmental Control (Green)
17,grains heterogeneity in flowing mass,Environmental Control (Green)
17,local thickening of flowing material,Environmental Control (Green)
17,modifying basin geomorphology,Environmental Control (Green)
18,trigger turbidity current at stop,Environmental Control (Green)
19,presence of 'tongues' at toe,MTD Descriptor (Blue)
19,triggering turbidity current,Environmental Control (Green)
20,erosion of underlying material,Mass Movement Property (Orange)
20,pore pressure increase by compression,Mass Movement Property (Orange)
20,subsidence/uplift,Environmental Control (Green)
20,triggering turbidity current at stop,Environmental Control (Green)
21,horizontal aspect ratio,MTD Descriptor (Blue)
21,lithology of underlying material in source zone,Environmental Control (Green)
21,maximum horizontal length,MTD Descriptor (Blue)
21,offshore events and waves,Environmental Control (Green)
21,plowing effect on underlying material,Mass Movement Property (Orange)
21,seafloor shapes and dip variations,Environmental Control (Green)
21,topography confinement downwards,Environmental Control (Green)
21,width variation,MTD Descriptor (Blue)
22,preserved blocks size,MTD Descriptor (Blue)
22,source domain in basin,Environmental Control (Green)
23,thrust fault angle increase to toe,MTD Descriptor (Blue)
24,chaotic facies distribution,MTD Descriptor (Blue)
24,faulty facies distribution,MTD Descriptor (Blue)
24,frontal compression,Environmental Control (Green)
24,ridged facies distribution,MTD Descriptor (Blue)
25,existing geomorphology,Environmental Control (Green)
25,post deposition regional deformation,Mass Movement Property (Orange)
25,transparent facies distribution,MTD Descriptor (Blue)
26,MTD proportion in sedimentary pile,MTD Descriptor (Blue)
26,chemical effects,Environmental Control (Green)
26,fluid overpressure in moving mass,Mass Movement Property (Orange)
26,multiple terracing downslope,MTD Descriptor (Blue)
26,pore pressure increase by fluid migration,Mass Movement Property (Orange)
26,seismicity or waves,Mass Movement Property (Orange)
27,BS flat sub-horizontal zone,MTD Descriptor (Blue)
27,BS ramps,MTD Descriptor (Blue)
27,flow behavior: elastic,Mass Movement Property (Orange)
27,upward connection to other MTDs,MTD Descriptor (Blue)
27,volume of transported material,Environmental Control (Green)
28,initial potential energy of mass,Environmental Control (Green)
28,sedimentation rate and type,Environmental Control (Green)
28,triggering cascading mass movements,Environmental Control (Green)
29,fluid overpressure,Mass Movement Property (Orange)
30,BS strong amplitude,MTD Descriptor (Blue)
30,US ramps or ridges,MTD Descriptor (Blue)
30,fluid overpressure on basal surface,Mass Movement Property (Orange)
30,local fluidization,Mass Movement Property (Orange)
30,presence of preserved blocks,MTD Descriptor (Blue)
30,runout distance,MTD Descriptor (Blue)
31,deformed facies distribution,MTD Descriptor (Blue)
31,detached MTD,Environmental Control (Green)
31,lateral connection to other MTDs,MTD Descriptor (Blue)
31,lateral distribution of MTDs,MTD Descriptor (Blue)
31,thickness variation,MTD Descriptor (Blue)
31,volume,MTD Descriptor (Blue)
32,lithology distribution in MTD,MTD Descriptor (Blue)
32,principal direction,MTD Descriptor (Blue)
33,sea level evolution,Environmental Control (Green)
34,US with turbidites on top,MTD Descriptor (Blue)
34,initial aspect ratio and top of mass slope angle,Environmental Control (Green)
35,flow direction,Environmental Control (Green)
35,gravity,Mass Movement Property (Orange)
35,loss of mass,Mass Movement Property (Orange)
35,vertical distribution of MTDs,MTD Descriptor (Blue)
36,BS median slope,MTD Descriptor (Blue)
36,US median slope,MTD Descriptor (Blue)
36,average thickness,MTD Descriptor (Blue)
36,surface area,MTD Descriptor (Blue)
